run_key,timestamp,source,puzzle_id,puzzle_file,title,model,experiment,thinking,include_narrative,include_sizes,image_source,renderer,error,skipped,parsed,parse_needed_repair,truncated,solved,cells,correct,cell_acc,shape_acc,color_acc,color_pairs,fg_recall,fg_truth,bg_fp,bg_fn,missing_cells,n_frames_expected,n_frames_returned,frames_exact,frames_with_correct_dims,positions_exact_match,order_preserved,missing_visible_frames,hallucinated_masked_frames,extra_frames,answered_all_masked,answered_extra_positions,latency_ms,content_chars,reasoning_chars
sub_006|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:27:18.624491,python-sweep,sub_006,narc_puzzle_sub_006_2026-08-17.json,🧩Farm,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,75,75,100.0,100.0,100.0,39,100.0,39,0,0,0,3,3,3,3,True,True,,,,,,901,587,0
sub_006|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:27:22.532661,python-sweep,sub_006,narc_puzzle_sub_006_2026-08-17.json,🧩Farm,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,18,72.0,100.0,46.15,13,100.0,13,0,0,0,1,1,0,1,,,,,,True,,383,81,0
sub_009|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:27:25.926127,python-sweep,sub_009,narc_puzzle_sub_009_2026-08-17.json,🧩Cloudy,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,49,36,73.47,73.47,100.0,7,35.0,20,0,13,0,1,1,0,1,,,,,,True,,561,133,0
sub_009|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:27:29.495455,python-sweep,sub_009,narc_puzzle_sub_009_2026-08-17.json,🧩Cloudy,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,147,147,100.0,100.0,100.0,52,100.0,52,0,0,0,3,3,3,3,True,True,,,,,,1747,865,0
sub_009|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:27:34.253742,python-sweep,sub_009,narc_puzzle_sub_009_2026-08-17.json,🧩Cloudy,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,49,35,71.43,73.47,87.5,8,40.0,20,1,12,0,1,1,0,1,,,,,,True,,591,241,0
sub_013|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:27:37.855422,python-sweep,sub_013,narc_puzzle_sub_013_2026-08-17.json,🧩Jumpy,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,24,96.0,96.0,100.0,8,100.0,8,1,0,0,1,1,0,1,,,,,,True,,437,81,0
sub_013|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:27:41.302803,python-sweep,sub_013,narc_puzzle_sub_013_2026-08-17.json,🧩Jumpy,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,75,75,100.0,100.0,100.0,25,100.0,25,0,0,0,3,3,3,3,True,True,,,,,,914,588,0
sub_013|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:27:45.222637,python-sweep,sub_013,narc_puzzle_sub_013_2026-08-17.json,🧩Jumpy,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,23,92.0,96.0,85.71,7,87.5,8,0,1,0,1,1,0,1,,,,,,True,,373,81,0
sub_022|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:27:48.602187,python-sweep,sub_022,narc_puzzle_sub_022_2026-08-17.json,🧩Hunt,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,22,88.0,88.0,100.0,4,57.14,7,0,3,0,1,1,0,1,,,,,,True,,597,105,0
sub_022|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:27:52.206821,python-sweep,sub_022,narc_puzzle_sub_022_2026-08-17.json,🧩Hunt,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,75,75,100.0,100.0,100.0,17,100.0,17,0,0,0,3,3,3,3,True,True,,,,,,2938,587,0
sub_022|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:27:58.148158,python-sweep,sub_022,narc_puzzle_sub_022_2026-08-17.json,🧩Hunt,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,21,84.0,84.0,100.0,3,42.86,7,0,4,0,1,1,0,1,,,,,,True,,590,81,0
sub_025_tre_rev|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:28:01.748272,python-sweep,sub_025_tre_rev,narc_puzzle_sub_025_tre_rev_2026-08-17.json,🧩Crop4,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,9,8,88.89,100.0,88.89,9,100.0,9,0,0,0,1,1,0,1,,,,,,True,,402,53,0
sub_025_tre_rev|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:28:05.159337,python-sweep,sub_025_tre_rev,narc_puzzle_sub_025_tre_rev_2026-08-17.json,🧩Crop4,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,27,27,100.0,100.0,100.0,24,100.0,24,0,0,0,3,3,3,3,True,True,,,,,,9264,384,0
sub_025_tre_rev|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:28:17.434224,python-sweep,sub_025_tre_rev,narc_puzzle_sub_025_tre_rev_2026-08-17.json,🧩Crop4,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,9,8,88.89,100.0,88.89,9,100.0,9,0,0,0,1,1,0,1,,,,,,True,,413,53,0
sub_026|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:28:20.861181,python-sweep,sub_026,narc_puzzle_sub_026_2026-08-17.json,🧩Pinky,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,11,44.0,100.0,44.0,25,100.0,25,0,0,0,1,1,0,1,,,,,,True,,519,153,0
sub_026|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:28:24.388192,python-sweep,sub_026,narc_puzzle_sub_026_2026-08-17.json,🧩Pinky,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,75,75,100.0,100.0,100.0,55,100.0,55,0,0,0,3,3,3,3,True,True,,,,,,933,588,0
sub_026|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:28:28.330992,python-sweep,sub_026,narc_puzzle_sub_026_2026-08-17.json,🧩Pinky,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,20,80.0,80.0,100.0,20,80.0,25,0,5,0,1,1,0,1,,,,,,True,,432,105,0
sub_032|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:28:31.773872,python-sweep,sub_032,narc_puzzle_sub_032_2026-08-17.json,🧩Play,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,15,60.0,60.0,100.0,5,33.33,15,0,10,0,1,1,0,1,,,,,,True,,455,81,0
sub_032|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:28:35.235948,python-sweep,sub_032,narc_puzzle_sub_032_2026-08-17.json,🧩Play,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,75,75,100.0,100.0,100.0,43,100.0,43,0,0,0,3,3,3,3,True,True,,,,,,935,587,0
sub_032|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:28:39.179724,python-sweep,sub_032,narc_puzzle_sub_032_2026-08-17.json,🧩Play,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,20,80.0,80.0,100.0,10,66.67,15,0,5,0,1,1,0,1,,,,,,True,,450,153,0
sub_034_rev_rev|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:28:42.642727,python-sweep,sub_034_rev_rev,narc_puzzle_sub_034_rev_rev_2026-08-17.json,🧩Pinky6,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,9,7,77.78,77.78,100.0,4,100.0,4,2,0,0,1,1,0,1,,,,,,True,,434,53,0
sub_034_rev_rev|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:28:46.086962,python-sweep,sub_034_rev_rev,narc_puzzle_sub_034_rev_rev_2026-08-17.json,🧩Pinky6,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,27,27,100.0,100.0,100.0,24,100.0,24,0,0,0,3,3,3,3,True,True,,,,,,646,385,0
sub_034_rev_rev|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:28:49.742834,python-sweep,sub_034_rev_rev,narc_puzzle_sub_034_rev_rev_2026-08-17.json,🧩Pinky6,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,9,5,55.56,55.56,,0,0.0,4,0,4,0,1,1,0,1,,,,,,True,,321,45,0
sub_035|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:28:53.074050,python-sweep,sub_035,narc_puzzle_sub_035_2026-08-17.json,🧩Foreign Exchange Model,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,289,235,81.31,81.66,97.06,34,59.65,57,30,23,0,1,1,0,1,,,,,,True,,1509,633,0
sub_035|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:28:57.593560,python-sweep,sub_035,narc_puzzle_sub_035_2026-08-17.json,🧩Foreign Exchange Model,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,578,370,64.01,70.07,92.31,39,34.21,114,98,75,66,2,2,0,0,True,True,,,,,,3195,2029,0
sub_035|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:29:03.799094,python-sweep,sub_035,narc_puzzle_sub_035_2026-08-17.json,🧩Foreign Exchange Model,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,289,229,79.24,79.24,100.0,35,61.4,57,38,22,0,1,1,0,1,,,,,,True,,1272,633,0
sub_041|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:29:08.081143,python-sweep,sub_041,narc_puzzle_sub_041_2026-08-17.json,🧩Flame,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,19,76.0,76.0,,0,0.0,6,0,6,0,1,1,0,1,,,,,,True,,457,81,0
sub_041|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:29:11.546976,python-sweep,sub_041,narc_puzzle_sub_041_2026-08-17.json,🧩Flame,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,100,100,100.0,100.0,100.0,39,100.0,39,0,0,0,4,4,4,4,True,True,,,,,,1113,770,0
sub_041|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:29:15.666398,python-sweep,sub_041,narc_puzzle_sub_041_2026-08-17.json,🧩Flame,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,19,76.0,76.0,,0,0.0,6,0,6,0,1,1,0,1,,,,,,True,,466,153,0
sub_044|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:29:19.140623,python-sweep,sub_044,narc_puzzle_sub_044_2026-08-17.json,🧩Apple,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,23,92.0,92.0,100.0,8,88.89,9,1,1,0,1,1,0,1,,,,,,True,,455,81,0
sub_044|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:29:22.601674,python-sweep,sub_044,narc_puzzle_sub_044_2026-08-17.json,🧩Apple,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,75,75,100.0,100.0,100.0,24,100.0,24,0,0,0,3,3,3,3,True,True,,,,,,914,588,0
sub_044|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:29:26.522850,python-sweep,sub_044,narc_puzzle_sub_044_2026-08-17.json,🧩Apple,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,23,92.0,92.0,100.0,8,88.89,9,1,1,0,1,1,0,1,,,,,,True,,371,81,0
sub_058|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:29:29.904885,python-sweep,sub_058,narc_puzzle_sub_058_2026-08-17.json,🧩Pruning 04（4x4）04masked,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,16,15,93.75,93.75,100.0,6,100.0,6,1,0,0,1,1,0,1,,,,,,True,,507,76,0
sub_058|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:29:33.419688,python-sweep,sub_058,narc_puzzle_sub_058_2026-08-17.json,🧩Pruning 04（4x4）04masked,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,48,48,100.0,100.0,100.0,25,100.0,25,0,0,0,3,3,3,3,True,True,,,,,,801,495,0
sub_058|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:29:37.231577,python-sweep,sub_058,narc_puzzle_sub_058_2026-08-17.json,🧩Pruning 04（4x4）04masked,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,16,14,87.5,93.75,83.33,6,100.0,6,1,0,0,1,1,0,1,,,,,,True,,352,76,0
sub_065|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:29:40.593780,python-sweep,sub_065,narc_puzzle_sub_065_2026-08-17.json,🧩The Fountain Show 05 （3x4）01 masked,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,12,8,66.67,83.33,75.0,8,88.89,9,1,1,0,1,1,0,1,,,,,,True,,393,64,0
sub_065|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:29:43.995518,python-sweep,sub_065,narc_puzzle_sub_065_2026-08-17.json,🧩The Fountain Show 05 （3x4）01 masked,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,24,24,100.0,100.0,100.0,18,100.0,18,0,0,0,2,2,2,2,True,True,,,,,,609,335,0
sub_065|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:29:47.612455,python-sweep,sub_065,narc_puzzle_sub_065_2026-08-17.json,🧩The Fountain Show 05 （3x4）01 masked,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,12,6,50.0,50.0,100.0,3,33.33,9,0,6,0,1,1,0,1,,,,,,True,,347,53,0
sub_086|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:29:50.968221,python-sweep,sub_086,narc_puzzle_sub_086_2026-08-17.json,🧩Penny's car 01 small ver.,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,10,0,0.0,100.0,0.0,10,100.0,10,0,0,0,1,1,0,1,,,,,,True,,492,70,0
sub_086|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:29:54.470473,python-sweep,sub_086,narc_puzzle_sub_086_2026-08-17.json,🧩Penny's car 01 small ver.,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,20,19,95.0,100.0,95.0,20,100.0,20,0,0,0,2,2,0,0,True,True,,,,,,696,488,0
sub_086|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:29:58.173643,python-sweep,sub_086,narc_puzzle_sub_086_2026-08-17.json,🧩Penny's car 01 small ver.,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,10,7,70.0,100.0,70.0,10,100.0,10,0,0,0,1,1,0,1,,,,,,True,,507,148,0
sub_088|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:30:01.689513,python-sweep,sub_088,narc_puzzle_sub_088_2026-08-17.json,🧩Moka pot 01 small ver.,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,9,0,0.0,33.33,0.0,3,100.0,3,6,0,0,1,1,0,1,,,,,,True,,379,65,0
sub_088|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:30:05.078072,python-sweep,sub_088,narc_puzzle_sub_088_2026-08-17.json,🧩Moka pot 01 small ver.,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,18,18,100.0,100.0,100.0,12,100.0,12,0,0,0,2,2,2,2,True,True,,,,,,604,407,0
sub_088|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:30:08.688823,python-sweep,sub_088,narc_puzzle_sub_088_2026-08-17.json,🧩Moka pot 01 small ver.,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,9,6,66.67,66.67,100.0,3,100.0,3,3,0,0,1,1,0,1,,,,,,True,,326,137,0
sub_090|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:30:12.028660,python-sweep,sub_090,narc_puzzle_sub_090_2026-08-17.json,🧩Carrot Patch 02 small ver.,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,12,8,66.67,66.67,100.0,6,85.71,7,3,1,0,1,1,0,1,,,,,,True,,418,60,0
sub_090|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:30:15.456273,python-sweep,sub_090,narc_puzzle_sub_090_2026-08-17.json,🧩Carrot Patch 02 small ver.,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,36,36,100.0,100.0,100.0,30,100.0,30,0,0,0,3,3,3,3,True,True,,,,,,715,402,0
sub_090|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:30:19.178068,python-sweep,sub_090,narc_puzzle_sub_090_2026-08-17.json,🧩Carrot Patch 02 small ver.,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,12,11,91.67,91.67,100.0,6,85.71,7,0,1,0,1,1,0,1,,,,,,True,,314,90,0
sub_095|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:30:22.504284,python-sweep,sub_095,narc_puzzle_sub_095_2026-08-17.json,🧩Bubble Level 04（9x1）,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,9,0,0.0,11.11,0.0,1,100.0,1,8,0,0,1,1,0,1,,,,,,True,,420,73,0
sub_095|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:30:25.934219,python-sweep,sub_095,narc_puzzle_sub_095_2026-08-17.json,🧩Bubble Level 04（9x1）,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,27,27,100.0,100.0,100.0,3,100.0,3,0,0,0,3,3,3,3,True,True,,,,,,767,338,0
sub_095|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:30:29.709199,python-sweep,sub_095,narc_puzzle_sub_095_2026-08-17.json,🧩Bubble Level 04（9x1）,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,9,8,88.89,88.89,,0,0.0,1,0,1,0,1,1,0,1,,,,,,True,,292,41,0
sub_096|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:30:33.013845,python-sweep,sub_096,narc_puzzle_sub_096_2026-08-17.json,🧩Elevator 01,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,21,84.0,84.0,,0,0.0,3,1,3,0,1,1,0,1,,,,,,True,,561,153,0
sub_096|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:30:36.581026,python-sweep,sub_096,narc_puzzle_sub_096_2026-08-17.json,🧩Elevator 01,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,100,93,93.0,95.0,80.0,10,90.91,11,4,1,0,4,4,2,4,True,True,,,,,,1096,776,0
sub_096|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:30:40.682691,python-sweep,sub_096,narc_puzzle_sub_096_2026-08-17.json,🧩Elevator 01,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,21,84.0,84.0,,0,0.0,3,1,3,0,1,1,0,1,,,,,,True,,418,105,0
sub_101|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:30:44.113177,python-sweep,sub_101,narc_puzzle_sub_101_2026-08-17.json,"🧩Push-up 01 03,04masked",qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,16,14,87.5,87.5,100.0,8,80.0,10,0,2,0,2,2,1,2,,,,,,True,,424,69,0
sub_101|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:30:47.545261,python-sweep,sub_101,narc_puzzle_sub_101_2026-08-17.json,"🧩Push-up 01 03,04masked",qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,16,16,100.0,100.0,100.0,10,100.0,10,0,0,0,2,2,2,2,True,True,,,,,,555,261,0
sub_101|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:30:51.110294,python-sweep,sub_101,narc_puzzle_sub_101_2026-08-17.json,"🧩Push-up 01 03,04masked",qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,16,12,75.0,75.0,100.0,8,80.0,10,2,2,0,2,2,0,2,,,,,,True,,486,135,0
sub_103|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:30:54.609998,python-sweep,sub_103,narc_puzzle_sub_103_2026-08-17.json,🧩Six cakes01  03 masked,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,6,2,33.33,33.33,100.0,2,100.0,2,4,0,0,1,1,0,1,,,,,,True,,391,42,0
sub_103|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:30:58.010154,python-sweep,sub_103,narc_puzzle_sub_103_2026-08-17.json,🧩Six cakes01  03 masked,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,12,12,100.0,100.0,100.0,8,100.0,8,0,0,0,2,2,2,2,True,True,,,,,,529,248,0
